Save 262 - Episode 1040/1500, Score: -105.0 (0.01), AVG Score: -101.23
Save 263 - Episode 1042/1500, Score: -103.0 (0.01), AVG Score: -101.52
Save 264 - Episode 1043/1500, Score: -103.0 (0.01), AVG Score: -101.5
Save 265 - Episode 1044/1500, Score: -88.0 (0.01), AVG Score: -101.33
Save 266 - Episode 1045/1500, Score: -88.0 (0.01), AVG Score: -101.21
Save 267 - Episode 1046/1500, Score: -107.0 (0.01), AVG Score: -101.22
Save 268 - Episode 1047/1500, Score: -85.0 (0.01), AVG Score: -101.23
Save 269 - Episode 1048/1500, Score: -105.0 (0.01), AVG Score: -101.25
Save 270 - Episode 1049/1500, Score: -101.0 (0.01), AVG Score: -101.12
Save 271 - Episode 1050/1500, Score: -104.0 (0.01), AVG Score: -101.33
Save 272 - Episode 1051/1500, Score: -104.0 (0.01), AVG Score: -101.33
Save 273 - Episode 1052/1500, Score: -102.0 (0.01), AVG Score: -101.28
Save 274 - Episode 1053/1500, Score: -107.0 (0.01), AVG Score: -101.28
Save 275 - Episode 1054/1500, Score: -103.0 (0.01), AVG Score: -101.26
Save 276 - Episode 1055/1500, Score: -105.0 (0.01), AVG Score: -101.19
Save 277 - Episode 1056/1500, Score: -104.0 (0.01), AVG Score: -101.19
Save 278 - Episode 1057/1500, Score: -104.0 (0.01), AVG Score: -101.2
Save 279 - Episode 1058/1500, Score: -89.0 (0.01), AVG Score: -101.06
Save 280 - Episode 1059/1500, Score: -104.0 (0.01), AVG Score: -101.06
Save 281 - Episode 1060/1500, Score: -90.0 (0.01), AVG Score: -100.91
Save 282 - Episode 1061/1500, Score: -86.0 (0.01), AVG Score: -100.93
Save 283 - Episode 1062/1500, Score: -106.0 (0.01), AVG Score: -100.95
Save 284 - Episode 1063/1500, Score: -106.0 (0.01), AVG Score: -100.97
Save 285 - Episode 1064/1500, Score: -106.0 (0.01), AVG Score: -101.02
Save 286 - Episode 1065/1500, Score: -108.0 (0.01), AVG Score: -101.02
Save 287 - Episode 1067/1500, Score: -108.0 (0.01), AVG Score: -101.11
Save 288 - Episode 1069/1500, Score: -105.0 (0.01), AVG Score: -101.49
Save 289 - Episode 1070/1500, Score: -87.0 (0.01), AVG Score: -101.33
Save 290 - Episode 1071/1500, Score: -84.0 (0.01), AVG Score: -101.14
Save 291 - Episode 1072/1500, Score: -102.0 (0.01), AVG Score: -101.13
Save 292 - Episode 1073/1500, Score: -102.0 (0.01), AVG Score: -101.14
Save 293 - Episode 1074/1500, Score: -103.0 (0.01), AVG Score: -101.1
Save 294 - Episode 1075/1500, Score: -105.0 (0.01), AVG Score: -101.05
Save 295 - Episode 1076/1500, Score: -102.0 (0.01), AVG Score: -101.04
Save 296 - Episode 1077/1500, Score: -107.0 (0.01), AVG Score: -101.25
Save 297 - Episode 1078/1500, Score: -105.0 (0.01), AVG Score: -101.3
Save 298 - Episode 1079/1500, Score: -107.0 (0.01), AVG Score: -101.54
Save 299 - Episode 1081/1500, Score: -86.0 (0.01), AVG Score: -101.6
Save 300 - Episode 1082/1500, Score: -83.0 (0.01), AVG Score: -101.39
Save 301 - Episode 1085/1500, Score: -103.0 (0.01), AVG Score: -101.59
Save 302 - Episode 1086/1500, Score: -89.0 (0.01), AVG Score: -101.49
Save 303 - Episode 1087/1500, Score: -95.0 (0.01), AVG Score: -101.39
Save 304 - Episode 1088/1500, Score: -100.0 (0.01), AVG Score: -101.35
Save 305 - Episode 1089/1500, Score: -101.0 (0.01), AVG Score: -101.32
Save 306 - Episode 1090/1500, Score: -105.0 (0.01), AVG Score: -101.4
Save 307 - Episode 1091/1500, Score: -102.0 (0.01), AVG Score: -101.4
Save 308 - Episode 1092/1500, Score: -88.0 (0.01), AVG Score: -101.21
Save 309 - Episode 1094/1500, Score: -102.0 (0.01), AVG Score: -101.29
Save 310 - Episode 1095/1500, Score: -105.0 (0.01), AVG Score: -101.3
Save 311 - Episode 1096/1500, Score: -86.0 (0.01), AVG Score: -101.13
Save 312 - Episode 1097/1500, Score: -107.0 (0.01), AVG Score: -101.17
Save 313 - Episode 1098/1500, Score: -83.0 (0.01), AVG Score: -100.96
Save 314 - Episode 1099/1500, Score: -104.0 (0.01), AVG Score: -101.04
Save 315 - Episode 1100/1500, Score: -103.0 (0.01), AVG Score: -101.02
Save 316 - Episode 1101/1500, Score: -84.0 (0.01), AVG Score: -100.83
Save 317 - Episode 1102/1500, Score: -105.0 (0.01), AVG Score: -100.86
Save 318 - Episode 1103/1500, Score: -108.0 (0.01), AVG Score: -100.92
Save 319 - Episode 1105/1500, Score: -108.0 (0.01), AVG Score: -101.05
Save 320 - Episode 1106/1500, Score: -102.0 (0.01), AVG Score: -101.03
Save 321 - Episode 1107/1500, Score: -105.0 (0.01), AVG Score: -101.25
Save 322 - Episode 1108/1500, Score: -105.0 (0.01), AVG Score: -101.24
Save 323 - Episode 1109/1500, Score: -102.0 (0.01), AVG Score: -101.41
Save 324 - Episode 1110/1500, Score: -105.0 (0.01), AVG Score: -101.43
Save 325 - Episode 1111/1500, Score: -84.0 (0.01), AVG Score: -101.23
Save 326 - Episode 1112/1500, Score: -84.0 (0.01), AVG Score: -101.01
Save 327 - Episode 1113/1500, Score: -108.0 (0.01), AVG Score: -101.04
Save 328 - Episode 1114/1500, Score: -104.0 (0.01), AVG Score: -101.02
Save 329 - Episode 1115/1500, Score: -102.0 (0.01), AVG Score: -101.02
Save 330 - Episode 1116/1500, Score: -103.0 (0.01), AVG Score: -101.05
Save 331 - Episode 1118/1500, Score: -102.0 (0.01), AVG Score: -101.08
Save 332 - Episode 1119/1500, Score: -106.0 (0.01), AVG Score: -101.14
